epoch,lr,loss,iou,val_loss,val_iou
0,0.001,1.0252907673517864,0.39163934755642454,1.0822277665138245,7.474291780259184e-11
1,0.001,0.8802323341369629,0.40872089035537,1.0116921762625377,0.10701001445656283
2,0.001,0.7473882900344001,0.44161360471184186,0.9578436414400736,0.13390311043691974
3,0.001,0.6212125635809369,0.4733141750717576,0.7238756616910299,0.39945794852358657
4,0.001,0.5446702164632303,0.4816248721661499,0.5455751518408457,0.4687813543658266
5,0.001,0.4994341554465117,0.4900640523623587,0.6182239452997843,0.4000662732043489
6,0.001,0.4858492270663933,0.49105321435185706,0.4883725047111511,0.5231388256498292
7,0.001,0.4568959761548925,0.5214346021393504,0.517472023765246,0.4874464331296145
8,0.001,0.4420056183029104,0.5265529604370099,0.5944222211837769,0.3643626076752087
9,0.001,0.4281261966184334,0.5378482935199151,0.4773441304763158,0.5223120917041667
10,0.001,0.41384570742094956,0.5531658735996166,0.533402144908905,0.45048667359254385
11,0.001,0.4021574162222721,0.5561345466957804,0.408824880917867,0.5359497841124652
12,0.001,0.39175271215262236,0.5616327854547059,0.4819273153940837,0.43934098391297655
13,0.001,0.40312532197546075,0.5461783585982809,0.36719150841236115,0.6069634589021384
14,0.001,0.38534419348946325,0.5663998173478062,0.3646068026622136,0.5997464527010683
15,0.001,0.3702334800252208,0.5681864846724786,0.334550013144811,0.6103917961817426
16,0.001,0.3605955610120738,0.5705487165991574,0.34609929472208023,0.6179677915822585
17,0.001,0.3672669521636433,0.5867759230208462,0.3505943715572357,0.6310578515490501
18,0.001,0.33774754377426924,0.6055763764538429,0.3497194175918897,0.6293535777131557
19,0.001,0.3369906263218986,0.5936761083440685,0.3181652675072352,0.6148014756054462
20,0.001,0.3234475942121612,0.6041631257623089,0.3270808160305023,0.616926509084328
21,0.001,0.3182284738178606,0.6088524254888993,0.30893095831076306,0.6608525840482509
22,0.001,0.3150656695167224,0.6133329345192174,0.30092301468054455,0.6499058176648997
23,0.001,0.3068130319869077,0.6281163334373984,0.2907013272245725,0.6580558173639602
24,0.001,0.3057570258776347,0.6215036731984972,0.29090704023838043,0.6557466812422114
